종목코드,종목명,ESG등급,환경,사회,지배구조,ESG등급_ca,환경_ca,사회_ca,지배구조_ca,연도,종가,거래량
018880,한온시스템,B+,B+,B+,B+,5.0,5.0,5.0,5.0,2018.0,11475.901639344262,250764238.0
018880,한온시스템,B이하,B,B이하,B+,2.0,3.0,2.0,5.0,2017.0,10842.880658436214,317931175.0
018880,한온시스템,B이하,B,B이하,B+,2.0,3.0,2.0,5.0,2016.0,10630.40650406504,245836587.0
018880,한온시스템,B이하,C,B이하,B+,2.0,1.0,2.0,5.0,2015.0,8275.887096774193,41408380.0
018880,한온시스템,B이하,C,B+,B+,2.0,1.0,5.0,5.0,2014.0,9153.836734693878,54018036.0
018880,한온시스템,B이하,C,B이하,B+,2.0,1.0,2.0,5.0,2013.0,6490.566801619433,55699917.0
018880,한온시스템,B이하,B,B이하,B+,2.0,3.0,2.0,5.0,2012.0,4546.0887096774195,92421908.0
018880,한온시스템,B이하,C,B이하,A,2.0,1.0,2.0,6.0,2011.0,4447.862903225807,89971159.0
028670,팬오션,B+,B+,D,A,5.0,5.0,0.0,6.0,2021.0,6507.258064516129,2129820840.0
028670,팬오션,B+,B+,B이하,B이하,5.0,5.0,2.0,2.0,2018.0,5114.4672131147545,532291320.0
028670,팬오션,B이하,B+,B이하,B이하,2.0,5.0,2.0,2.0,2017.0,5312.098765432099,990284079.0
028670,팬오션,B이하,B,B이하,B이하,2.0,3.0,2.0,2.0,2016.0,3700.467479674797,424053937.0
028670,팬오션,B+,B,B+,B+,5.0,3.0,5.0,5.0,2013.0,42449.60728744939,2168841559.0
028670,팬오션,B+,B+,B이하,B+,5.0,5.0,2.0,5.0,2012.0,75731.0241935484,421177570.0
028670,팬오션,B이하,B+,B이하,B+,2.0,5.0,2.0,5.0,2011.0,124528.95161290323,396226307.0
105630,한세실업,B,B,B,B+,3.0,3.0,3.0,5.0,2021.0,21810.08064516129,96408572.0
105630,한세실업,B이하,B,B이하,B이하,2.0,3.0,2.0,2.0,2018.0,20044.877049180326,47972476.0
105630,한세실업,B이하,B+,B이하,B이하,2.0,5.0,2.0,2.0,2017.0,25978.395061728395,62121303.0
105630,한세실업,B이하,B+,B이하,B이하,2.0,5.0,2.0,2.0,2016.0,39131.30081300813,56787522.0
105630,한세실업,B이하,B+,B이하,B이하,2.0,5.0,2.0,2.0,2015.0,46310.48387096774,35497999.0
105630,한세실업,B이하,B+,B이하,B이하,2.0,5.0,2.0,2.0,2014.0,28033.673469387755,35850786.0
105630,한세실업,B이하,B,B이하,B이하,2.0,3.0,2.0,2.0,2013.0,16511.53846153846,51871898.0
105630,한세실업,B이하,B,B이하,B이하,2.0,3.0,2.0,2.0,2012.0,10867.056451612903,62785798.0
105630,한세실업,B이하,B,B이하,,2.0,3.0,2.0,,2011.0,5249.173387096775,60128287.0
008490,서흥,B,C,B,B+,3.0,1.0,3.0,5.0,2021.0,51405.040322580644,7936363.0
008490,서흥,B이하,B,B이하,B이하,2.0,3.0,2.0,2.0,2018.0,30634.22131147541,5838148.0
008490,서흥,B이하,B,B이하,B이하,2.0,3.0,2.0,2.0,2017.0,35184.15637860083,5846573.0
008490,서흥,B이하,C,B이하,B이하,2.0,1.0,2.0,2.0,2016.0,41468.29268292683,5481296.0
