종목코드,종목명,ESG등급,환경,사회,지배구조,평가년도,ESG등급_ca,환경_ca,사회_ca,지배구조_ca
005180,빙그레,B이하,B,B+,B이하,2014,2.0,3.0,5.0,2.0
005180,빙그레,B이하,B,B+,B이하,2013,2.0,3.0,5.0,2.0
005180,빙그레,B이하,B,B+,B이하,2012,2.0,3.0,5.0,2.0
005180,빙그레,B+,B,B+,,2011,5.0,3.0,5.0,
006650,대한유화,B,B,B,B+,2021,3.0,3.0,3.0,5.0
006650,대한유화,B이하,C,B이하,B이하,2018,2.0,1.0,2.0,2.0
006650,대한유화,B이하,B,B이하,B이하,2017,2.0,3.0,2.0,2.0
006650,대한유화,B이하,C,B+,B이하,2016,2.0,1.0,5.0,2.0
006650,대한유화,B이하,C,B이하,B+,2015,2.0,1.0,2.0,5.0
006650,대한유화,B이하,C,B이하,B+,2014,2.0,1.0,2.0,5.0
006650,대한유화,B이하,C,B이하,B이하,2013,2.0,1.0,2.0,2.0
006650,대한유화,B이하,B,B이하,B+,2012,2.0,3.0,2.0,5.0
006650,대한유화,B이하,B,B이하,B이하,2011,2.0,3.0,2.0,2.0
009290,광동제약,B,C,B+,B+,2021,3.0,1.0,5.0,5.0
009290,광동제약,B이하,B,B+,B이하,2018,2.0,3.0,5.0,2.0
009290,광동제약,B이하,B,B+,B이하,2017,2.0,3.0,5.0,2.0
009290,광동제약,B이하,B,B이하,B이하,2016,2.0,3.0,2.0,2.0
009290,광동제약,B이하,B,B이하,B이하,2015,2.0,3.0,2.0,2.0
009290,광동제약,B이하,C,B이하,B이하,2014,2.0,1.0,2.0,2.0
009290,광동제약,B이하,B,B이하,B이하,2013,2.0,3.0,2.0,2.0
009290,광동제약,B이하,B,B이하,B이하,2012,2.0,3.0,2.0,2.0
009290,광동제약,B이하,C,B이하,B이하,2011,2.0,1.0,2.0,2.0
071970,STX중공업,B,C,B,B+,2021,3.0,1.0,3.0,5.0
071970,STX중공업,B이하,D,B+,B+,2016,2.0,0.0,5.0,5.0
071970,STX중공업,B이하,C,B+,B+,2013,2.0,1.0,5.0,5.0
071970,STX중공업,B+,B,B+,B+,2012,5.0,3.0,5.0,5.0
071970,STX중공업,A,B,A,B+,2011,6.0,3.0,6.0,5.0
096760,JW홀딩스,B,D,B+,B+,2021,3.0,0.0,5.0,5.0
096760,JW홀딩스,B이하,B,B+,B이하,2018,2.0,3.0,5.0,2.0
096760,JW홀딩스,B이하,B+,B이하,B이하,2017,2.0,5.0,2.0,2.0
096760,JW홀딩스,B이하,C,B+,B이하,2016,2.0,1.0,5.0,2.0
096760,JW홀딩스,B이하,B,B이하,B이하,2015,2.0,3.0,2.0,2.0
096760,JW홀딩스,B이하,B,B이하,B이하,2014,2.0,3.0,2.0,2.0
096760,JW홀딩스,B이하,B,B이하,B이하,2013,2.0,3.0,2.0,2.0
096760,JW홀딩스,B이하,B,B이하,B이하,2012,2.0,3.0,2.0,2.0
096760,JW홀딩스,B이하,B,B이하,,2011,2.0,3.0,2.0,
000140,하이트진로홀딩스,B+,B+,A,B,2021,5.0,5.0,6.0,3.0
000140,하이트진로홀딩스,B이하,B,B이하,B이하,2018,2.0,3.0,2.0,2.0
000140,하이트진로홀딩스,B이하,B+,B이하,B이하,2017,2.0,5.0,2.0,2.0
000140,하이트진로홀딩스,B이하,B+,B이하,B이하,2016,2.0,5.0,2.0,2.0
000140,하이트진로홀딩스,B이하,B,B이하,B이하,2015,2.0,3.0,2.0,2.0
000140,하이트진로홀딩스,B이하,B,B이하,B이하,2014,2.0,3.0,2.0,2.0
000140,하이트진로홀딩스,B이하,B+,B이하,B이하,2013,2.0,5.0,2.0,2.0
000140,하이트진로홀딩스,B이하,B,B이하,B이하,2012,2.0,3.0,2.0,2.0
000140,하이트진로홀딩스,,B+,,,2011,,5.0,,
068270,셀트리온,B,C,B+,B+,2021,3.0,1.0,5.0,5.0
068270,셀트리온,B이하,B,B이하,B이하,2018,2.0,3.0,2.0,2.0
402340,SK스퀘어,,,,,,,,,
079430,현대리바트,A,A,A+,A,2021,6.0,6.0,7.0,6.0
079430,현대리바트,B+,B+,B+,B이하,2018,5.0,5.0,5.0,2.0
079430,현대리바트,B+,B+,B+,B이하,2017,5.0,5.0,5.0,2.0
079430,현대리바트,B+,B+,B+,B이하,2016,5.0,5.0,5.0,2.0
079430,현대리바트,B이하,B+,B이하,B이하,2015,2.0,5.0,2.0,2.0
079430,현대리바트,B이하,B,B이하,B이하,2014,2.0,3.0,2.0,2.0
079430,현대리바트,B이하,C,B이하,B+,2013,2.0,1.0,2.0,5.0
079430,현대리바트,B이하,B,B이하,B이하,2012,2.0,3.0,2.0,2.0
079430,현대리바트,B이하,B,B이하,B이하,2011,2.0,3.0,2.0,2.0
084010,대한제강,B,B,B,B,2021,3.0,3.0,3.0,3.0
084010,대한제강,B이하,B,B이하,B+,2018,2.0,3.0,2.0,5.0
084010,대한제강,B이하,B,B이하,B+,2017,2.0,3.0,2.0,5.0
084010,대한제강,B이하,C,B이하,B+,2016,2.0,1.0,2.0,5.0
084010,대한제강,B이하,B,B이하,B+,2015,2.0,3.0,2.0,5.0
084010,대한제강,B이하,B,B이하,B+,2014,2.0,3.0,2.0,5.0
084010,대한제강,B이하,B,B이하,B+,2013,2.0,3.0,2.0,5.0
084010,대한제강,B+,B,B+,B+,2012,5.0,3.0,5.0,5.0
084010,대한제강,B+,B,B이하,B이하,2011,5.0,3.0,2.0,2.0
003030,세아제강지주,B+,B+,B+,B+,2021,5.0,5.0,5.0,5.0
002960,한국쉘석유,B,C,B+,B+,2021,3.0,1.0,5.0,5.0
002960,한국쉘석유,B이하,B+,B이하,B이하,2018,2.0,5.0,2.0,2.0
002960,한국쉘석유,B이하,B+,B이하,B이하,2017,2.0,5.0,2.0,2.0
002960,한국쉘석유,B이하,B+,B이하,B이하,2016,2.0,5.0,2.0,2.0
002960,한국쉘석유,B+,B+,B+,B이하,2015,5.0,5.0,5.0,2.0
002960,한국쉘석유,B+,B+,B+,B+,2014,5.0,5.0,5.0,5.0
002960,한국쉘석유,B+,B+,B+,B+,2013,5.0,5.0,5.0,5.0
