종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
5180,빙그레,"57,100",-500,0.87,"1,832,567,800","562,505,861,100"
145990,삼양사,"60,400",400,0.67,"2,407,458,800","622,932,319,600"
3230,삼양식품,"101,000","1,800",1.81,"5,805,172,200","760,834,515,000"
18250,애경산업,"24,500",450,1.87,"2,520,970,600","647,043,407,500"
214320,이노션,"59,600",100,0.17,"3,068,583,400","1,192,000,000,000"
7570,일양약품,"65,800",700,1.08,"34,005,212,000","1,255,836,691,200"
9410,태영건설,"11,800",500,4.42,"11,008,769,550","459,009,356,400"
6390,한일현대시멘트,"29,700",750,2.59,"1,543,188,800","499,592,313,000"
79160,CJ CGV,"25,050",100,0.4,"4,802,493,150","950,732,970,600"
6120,SK디스커버리,"46,400",-450,0.96,"2,936,300,900","883,356,472,000"
64960,SNT모티브,"47,050","-1,350",2.79,"3,119,358,250","688,018,548,800"
2350,넥센타이어,"6,820",-70,1.02,"1,143,353,660","666,094,921,140"
49770,동원F&B,"194,500",0,0.0,"406,265,500","750,599,618,000"
3000,부광약품,"12,900",-300,2.27,"4,243,455,200","916,713,332,100"
3520,영진약품,"5,290",-50,0.94,"4,388,262,100","967,502,546,990"
192400,쿠쿠홀딩스,"19,150",-250,1.29,"696,211,600","681,015,842,750"
282330,BGF리테일,"176,000","1,000",0.57,"4,048,347,000","3,041,967,456,000"
138930,BNK금융지주,"6,370",-60,0.93,"7,172,552,350","2,076,207,517,020"
1040,CJ,"72,900","1,200",1.67,"2,075,204,100","2,127,003,154,200"
120,CJ대한통운,"84,400","1,200",1.44,"5,220,547,200","1,925,361,833,600"
97950,CJ제일제당,"401,500","-1,500",0.37,"7,130,690,000","6,044,255,679,000"
5830,DB손해보험,"58,400",-500,0.85,"3,613,139,300","4,134,720,000,000"
990,DB하이텍,"40,350",0,0.0,"11,634,901,150","1,791,483,025,800"
210,DL,"59,200",-500,0.84,"2,756,123,000","1,240,588,332,800"
375500,DL이앤씨,"36,200",200,0.56,"5,314,352,200","1,400,709,152,600"
383220,F&F,"138,500",500,0.36,"20,896,119,500","5,305,529,887,500"
114090,GKL,"15,100",0,0.0,"1,437,515,500","934,020,617,000"
78930,GS,"46,800",-50,0.11,"5,084,074,650","4,348,439,690,400"
6360,GS건설,"22,950",-150,0.65,"14,467,790,800","1,964,095,195,500"
7070,GS리테일,"23,850",-400,1.65,"2,381,382,350","2,497,522,439,700"
294870,HDC현대산업개발,"10,350",-150,1.43,"1,233,112,650","682,140,865,500"
267250,HD현대,"58,300",-500,0.85,"3,930,866,400","4,605,296,855,500"
204320,HL만도,"44,700",-700,1.54,"5,837,721,900","2,098,983,264,000"
11200,HMM,"19,100",-200,1.04,"17,468,815,800","9,340,654,373,600"
105560,KB금융,"46,450","-1,450",3.03,"57,026,494,950","18,993,268,808,600"
2380,KCC,"241,500","-5,000",2.03,"3,545,542,000","2,146,082,746,500"
16380,KG스틸,"7,990",-120,1.48,"3,016,396,420","799,071,087,030"
30200,KT,"35,450",200,0.57,"12,283,966,950","9,256,413,593,600"
33780,KT&G,"88,100",100,0.11,"17,443,374,100","12,095,468,985,700"
3550,LG,"78,900",-900,1.13,"4,900,813,700","12,411,048,347,700"
