기업명,기업코드,ESG등급,환경,사회,지배구조,평가년도
삼성SDI,6400,A,A,A+,B+,2021
삼성공조,6660,C,C,C,B,2021
삼성물산,28260,A,A,A+,A,2021
삼성바이오로직스,207940,A,A,A+,A,2021
삼성생명,32830,A,A,A+,B+,2021
삼성에스디에스,18260,A,A,A+,A,2021
삼성엔지니어링,28050,A,A,A+,A,2021
삼성전기,9150,A,A,A+,B+,2021
삼성전자,5930,B+,A,A+,B,2021
삼성제약,1360,C,D,C,B,2021
삼성중공업,10140,B+,B,A,B+,2021
삼성증권,16360,A,A,A+,B+,2021
삼성출판사,68290,C,D,D,B+,2021
삼성카드,29780,A,A+,A+,A,2021
삼성화재해상보험,810,A,A+,A+,B+,2021
삼아알미늄,6110,B,B,C,B+,2021
삼양사,145990,A,A,A,B+,2021
삼양식품,3230,A,A,A+,A,2021
삼양통상,2170,B,C,C,B+,2021
삼양패키징,272550,B+,B,B+,B+,2021
삼양홀딩스,70,B+,A,A,B,2021
삼영무역,2810,B,D,C,B+,2021
삼영전자공업,5680,B,B,B,B+,2021
삼영화학공업,3720,B,B,C,B,2021
삼원강재,23000,C,B,D,B,2021
삼익THK,4380,B+,B,B,B+,2021
삼익악기,2450,C,D,C,B+,2021
삼일씨엔에스,4440,B,C,B,B+,2021
삼일제약,520,B,D,B,B+,2021
삼정펄프,9770,C,C,D,B,2021
삼진제약,5500,B,D,B,B+,2021
삼천당제약,250,C,D,B,B,2021
삼천리,4690,B+,B,A,B+,2021
삼표시멘트,38500,B,B,D,A,2021
삼호개발,10960,C,D,D,B,2021
삼화왕관,4450,B,B,C,B,2021
삼화전기,9470,C,C,C,B,2021
삼화전자공업,11230,C,C,C,B,2021
삼화콘덴서공업,1820,C,C,B,B,2021
삼화페인트공업,390,B+,B+,B+,A,2021
상상인,38540,D,D,D,C,2021
상상인증권,1290,C,D,B,D,2021
상신브레이크,41650,B,B,B,B,2021
상아프론테크,89980,C,C,B,B,2021
새론오토모티브,75180,C,C,C,B,2021
샘표,7540,B,B,B+,B,2021
샘표식품,248170,B,B,B+,B,2021
서부T&D,6730,C,D,C,B,2021
서연,7860,B+,B+,A,B+,2021
서연이화,200880,A,B+,A,A,2021
서울도시가스,17390,B+,C,B+,A,2021
서울반도체,46890,B+,B,B+,B+,2021
서울보증보험,813002,,,,B+,2021
서울식품공업,4410,B+,B,B,B+,2021
서원,21050,B,B,C,B+,2021
서진시스템,178320,C,C,C,B,2021
서흥,8490,B,C,B,B+,2021
선도전기,7610,C,C,C,B,2021
선진,136490,B+,B,A,B,2021
성문전자,14910,C,C,C,C,2021
성보화학,3080,B,D,B,B+,2021
성신양회,4980,B+,B+,B+,B+,2021
성안,11300,D,D,C,C,2021
성창기업지주,180,C,D,C,C,2021
세기상사,2420,C,D,C,B,2021
세방,4360,B,B,D,B+,2021
세방전지,4490,B,B,B,B+,2021
세아베스틸,1430,B+,B+,B,B+,2021
세아제강,306200,B+,B+,B+,B+,2021
세아제강지주,3030,B+,B+,B+,B+,2021
세아특수강,19440,B+,B+,B+,B+,2021
세아홀딩스,58650,B+,B+,B+,B+,2021
세우글로벌,13000,D,D,C,D,2021
세원이앤씨,91090,C,D,C,B,2021
세원정공,21820,C,C,B,C,2021
세이브존I&C,67830,C,D,C,B,2021
세종공업,33530,B,B,B,B,2021
세진중공업,75580,C,C,C,B+,2021
세하,27970,B,B,B,B,2021
세화아이엠씨,145210,C,C,C,C,2021
센트랄모텍,308170,B,D,B,B+,2021
센트럴인사이트,12600,D,D,C,D,2021
셀리버리,268600,C,D,C,B+,2021
셀트리온,68270,B,C,B+,B+,2021
셀트리온제약,68760,C,D,B,C,2021
셀트리온헬스케어,91990,B,D,B,B+,2021
솔루스첨단소재,336370,B,D,B,B+,2021
솔브레인홀딩스,36830,B,B,B+,B,2021
송원산업,4430,C,B,B,C,2021
수산중공업,17550,C,D,C,B+,2021
슈피겐코리아,192440,C,D,C,B+,2021
스튜디오드래곤,253450,B,D,B+,B+,2021
시그네틱스,33170,C,B,B,C,2021
시디즈,134790,C,C,C,C,2021
신대양제지,16590,C,C,C,B,2021
신도리코,29530,C,C,C,B+,2021
신라교역,4970,C,D,D,B+,2021
신성이엔지,11930,B,B,C,B+,2021
신성통상,5390,C,C,C,B,2021
신세계,4170,A,A,A+,A,2021
신세계I&C,35510,B+,B,B+,A,2021
신세계건설,34300,B+,C,A,A,2021
신세계인터내셔날,31430,A,B+,A,A,2021
신세계푸드,31440,A,B+,A,A,2021
신송홀딩스,6880,C,D,C,B,2021
신영와코루,5800,C,D,B,B,2021
신영증권,1720,B,D,C,B+,2021
신원,9270,C,D,B,B,2021
신일전자,2700,C,D,D,B+,2021
신풍제약,19170,B,D,B,B+,2021
신풍제지,2870,B+,B,B,B+,2021
신한금융투자,8670,,,,B,2021
신한라이프생명보험,828992,,,,A,2021
신한은행,10,,,,A,2021
신한지주,55550,A+,A+,A+,A+,2021
신한카드,32710,,,,B+,2021
신한캐피탈,811323,,,,B+,2021
신화실업,1770,C,D,C,B,2021
신화인터텍,56700,B,B,C,B,2021
신흥,4080,B,D,B,B,2021
신흥에스이씨,243840,C,D,C,B,2021
쌍방울,102280,C,D,B,C,2021
쌍용씨앤이,3410,A,A,A,B+,2021
써니전자,4770,C,D,B,B,2021
쎌마테라퓨틱스,15540,D,D,C,D,2021
씨아이에스,222080,C,D,C,B+,2021
씨아이테크,4920,C,D,C,C,2021
씨에스윈드,112610,B,B,C,B+,2021
씨젠,96530,D,D,C,D,2021
아난티,25980,D,D,C,D,2021
아남전자,8700,C,C,C,B,2021
아모레퍼시픽,90430,A,A,A+,A,2021
아모레퍼시픽그룹,2790,A,A,A+,A,2021
아미코젠,92040,C,C,B+,C,2021
아세아,2030,B+,B,B+,B+,2021
아세아시멘트,183190,B+,B+,B+,B,2021
아세아제지,2310,B,C,B+,B,2021
아센디오,12170,C,D,D,B,2021
아시아나IDT,267850,D,B,C,D,2021
아시아나항공,20560,C,B+,A,D,2021
아이마켓코리아,122900,B,D,B+,B+,2021
아이비케이연금보험,829322,,,,B,2021
아이비케이캐피탈,828519,,,,B+,2021
아이에스동서,10780,B+,B,B+,B+,2021
아이에이치큐,3560,C,D,C,B,2021
아이티엠반도체,84850,B+,B+,A,B+,2021
아주IB투자,27360,B,D,B+,B,2021
아프리카TV,67160,B,D,B,B+,2021
안랩,53800,B+,B,B+,A,2021
안트로젠,65660,C,D,C,B+,2021
알루코,1780,C,C,D,B,2021
알서포트,131370,B,D,C,B+,2021
알테오젠,196170,C,D,C,B,2021
애경산업,18250,A,B+,A+,B+,2021
애경케미칼,161000,B,B,C,B,2021
에넥스,11090,B,C,B,B,2021
에스앤에스텍,101490,C,D,C,B+,2021
에스에프에이,56190,B+,C,B,A,2021
에스엘,5850,B+,B+,B+,B+,2021
에스엠,41510,B,D,B,B,2021
에스엠코어,7820,C,D,C,B,2021
에스원,12750,A,B,A,A,2021
에스제이엠,123700,B,C,B,B+,2021
에스제이엠홀딩스,25530,B,C,B,B,2021
에스티큐브,52020,C,D,C,B,2021
에스티팜,237690,A,B+,A,A,2021
에쓰씨엔지니어링,23960,C,C,C,B,2021
에어부산,298690,C,C,B,D,2021
에이블씨엔씨,78520,B+,C,B+,B+,2021
에이비엘바이오,298380,B,D,B,A,2021
에이비엘생명보험,804337,,,,B,2021
에이스테크,88800,C,D,C,B,2021
에이아이에이생명보험,801688,,,,B,2021
에이엔피,15260,C,C,C,B,2021
에이치엘비,28300,B,B,B+,B,2021
에이치엘비생명과학,67630,C,C,C,C,2021
에이치엘사이언스,239610,B,D,B,B+,2021
에이프로젠 MED,7460,C,D,C,C,2021
에이프로젠제약,3060,C,D,C,C,2021
에코마케팅,230360,C,D,C,B,2021
에코프로,86520,B+,B,B+,B+,2021
에코프로비엠,247540,B,B,B,B+,2021
엔씨소프트,36570,A,B+,A,A,2021
엔에스쇼핑,138250,A,A,A,A,2021
엔에이치엔,181710,B+,C,A,A,2021
엔지켐생명과학,183490,C,D,C,B,2021
엔케이,85310,C,B,C,C,2021
엔케이맥스,182400,C,D,B,B,2021
엔케이물산,9810,C,D,C,C,2021
엔피씨,4250,C,C,D,C,2021
엘비세미콘,61970,C,B,B,C,2021
