종목코드,DART_고유번호,종목명,DART_고유번호_최근변경일자,법인등록번호
137310,00854997,에스디바이오센서,20220516,1358110191121
077970,00480455,STX엔진,20220729,1942110066763
377300,01244601,카카오페이,20220503,1311110478337
006120,00131832,SK디스커버리,20220330,1301110005727
001060,00149947,JW중외제약,20220330,1101110019342
031430,00234412,신세계인터내셔날,20220330,1101110282402
018250,00139454,애경산업,20220516,1101110398275
001210,00106395,금호전기,20220608,1101110028541
055550,00382199,신한지주,20220413,1101112322438
020560,00138792,아시아나항공,20220512,1101110562804
002030,00138701,아세아,20220321,1101110030710
302440,01319899,SK바이오사이언스,20220610,1311110523736
010620,00164609,현대미포조선,20220523,1812110000526
007340,00116949,DN오토모티브,20220621,1845110000642
008350,00107224,남선알미늄,20220331,1701110005042
000070,00126937,삼양홀딩스,20220331,1101110026181
009410,00153861,태영건설,20220422,1101110155451
007810,00152686,코리아써키트,20220520,1301110026749
017800,00164724,현대엘리베이터,20220413,1344110001519
000240,00160047,한국앤컴퍼니,20220331,1101110034233
000660,00164779,SK하이닉스,20220331,1344110001387
336260,01412725,두산퓨얼셀,20220331,2149110058935
002380,00105271,케이씨씨,20220524,1101110221814
012630,00164636,HDC,20220530,1101110279433
006800,00111722,미래에셋증권,20220325,1101110011679
014820,00132637,동원시스템즈,20220325,1341110011712
008040,00137252,사조동아원,20220325,1244110000662
011790,00139889,SKC,20220325,1301110001585
008930,00161426,한미사이언스,20220325,1348110003187
005380,00164742,현대자동차,20220325,1101110085450
052690,00159209,한전기술,20220531,1101110186307
002020,00152862,코오롱,20220404,1101110030528
326030,00878696,에스케이바이오팜,20220907,1101114570720
006380,00159810,카프로,20220407,1101110111825
282330,01263022,BGF리테일,20220518,1101116555770
004430,00134963,송원산업,20220407,1801110000636
004150,00171636,한솔홀딩스,20220407,1101110017867
020760,00198697,일진디스플,20220408,1545110006076
005250,00108135,녹십자홀딩스,20220412,1345110000014
272210,00339391,한화시스템,20220422,1760110020640
020150,00113997,일진머티리얼즈,20220302,2149110003625
047040,00124540,대우건설,20220302,1101112137895
064960,00398792,SNT모티브,20220302,1801110396069
096770,00631518,SK이노베이션,20220701,1101113710385
035420,00266961,NAVER,20220728,1101111707178
078520,00400857,에이블씨엔씨,20220704,1101111846174
066570,00401731,LG전자,20220603,1101112487050
004990,00120562,롯데지주,20220603,1101110076300
112610,00670340,씨에스윈드,20220406,1101113509887
088350,00113058,한화생명,20220429,1101110003204
271940,00972503,일진하이솔루스,20220307,2101110086548
178920,00767460,PI첨단소재,20220609,1543110022729
000060,00117744,메리츠화재,20220808,1101110013328
010120,00105855,엘에스일렉트릭,20220329,1101110520076
042660,00111704,대우조선해양,20220329,1101112095837
004370,00108241,농심,20220328,1101110057574
000430,00111847,대원강업,20220328,1101110015556
003000,00123718,부광약품,20220328,1101110030405
323410,01133217,카카오뱅크,20220623,1311110435767
014680,00140955,한솔케미칼,20220519,1101110270895
078930,00500254,GS,20220811,1101113045112
000120,00113410,CJ대한통운,20220329,1101110006167
170900,00956930,동아에스티,20220329,1101115079713
034220,00105873,LG디스플레이,20220302,1101110393134
016800,00161709,퍼시스,20220328,1101110345630
086790,00547583,하나금융지주,20220328,1101113352004
180640,00983040,한진칼,20220329,1101115197193
011210,00106623,현대위아,20220428,1942110000125
006280,00129679,녹십자,20220517,1101110109854
285130,01267170,SK케미칼,20220715,1311110501021
294870,01310269,HDC현대산업개발,20220720,1101116740008
002270,00120508,롯데푸드,20220720,1101110033722
015760,00159193,한국전력공사,20220720,1146710001456
145990,00896285,삼양사,20220328,1101114720945
001780,00117027,알루코,20220707,1601110002313
006260,00105952,LS,20220819,1101110003965
051310,00181934,포스코플랜텍,20220330,1812110010898
003550,00120021,LG,20220819,1101110003543
036570,00261443,엔씨소프트,20220819,1101111387748
284740,01267684,쿠쿠홈시스,20220304,1355110319406
047810,00309503,한국항공우주,20220906,1101111827570
006040,00118026,동원산업,20221014,1101110003098
012450,00126566,한화에어로스페이스,20221017,1942110000480
042670,00344287,현대두산인프라코어,20220511,1201110234469
138040,00860332,메리츠금융지주,20220722,1101114566406
079160,00303873,CJ CGV,20220824,1101111673220
009900,00173078,명신산업,20220228,1712110000958
003620,00138242,쌍용자동차,20220930,1101110035132
003190,00112004,알바이오,20220914,1101110006448
016380,00115676,KG스틸,20220831,1101110393308
298020,01316227,효성티앤씨,20220603,1101116770138
241560,01032486,두산밥캣,20220603,1101115402237
259960,00760971,크래프톤,20220603,1101113645772
009830,00162461,한화솔루션,20220901,1101110360935
298040,01316245,효성중공업,20220322,1101116770154
003520,00141149,영진약품,20220907,1101110043127
000880,00160588,한화,20220929,1101110002959
004170,00136378,신세계,20220908,1101110028848
019680,00108913,대교,20220331,1101110514029
002790,00154462,아모레퍼시픽그룹,20220407,1101110026644
120110,00795135,코오롱인더,20220421,1353110013606
008560,00163682,메리츠증권,20220914,1101110141301
025000,00191472,KPX케미칼,20220401,1101110166903
000640,00116824,동아쏘시오홀딩스,20220228,1101110017990
128940,00828497,한미약품,20220407,1348110197550
036460,00261285,한국가스공사,20220407,1146710006125
069260,00426086,티케이지휴켐스,20220831,1101112611906
204320,01042775,HL만도,20221005,1313110140776
001740,00131780,SK네트웍스,20220407,1301110005199
069960,00428251,현대백화점,20220914,1101112644725
267250,01205709,HD현대,20221021,1701110638661
035720,00258801,카카오,20221020,1101111129497
